epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,2325.39,0.50193,0.45385,0.99601,0.89051,0.86621,0.92759,0.8656,0.37418,0.35105,0.88532,0.0083764,0.0083764,0.0083764
166,2339.21,0.5052,0.45541,0.99294,0.89591,0.89001,0.93501,0.87259,0.34073,0.34239,0.86215,0.0083665,0.0083665,0.0083665
167,2353.05,0.50588,0.45525,0.99882,0.90529,0.84593,0.9332,0.86996,0.33681,0.3297,0.86856,0.0083566,0.0083566,0.0083566
168,2366.84,0.49943,0.44501,0.98985,0.91485,0.86058,0.94359,0.88028,0.39487,0.51311,0.91974,0.0083467,0.0083467,0.0083467
169,2380.68,0.50256,0.45247,0.99357,0.93317,0.85974,0.93768,0.87406,0.34138,0.32427,0.86043,0.0083368,0.0083368,0.0083368
170,2394.5,0.49984,0.44723,0.99178,0.90363,0.87438,0.93237,0.86495,0.34875,0.34169,0.86804,0.0083269,0.0083269,0.0083269
171,2408.34,0.4962,0.45525,0.99089,0.93871,0.87888,0.9473,0.8884,0.33445,0.3121,0.86214,0.008317,0.008317,0.008317
172,2422.26,0.49597,0.44816,0.98642,0.94879,0.86489,0.94314,0.87621,0.35491,0.35459,0.86874,0.0083071,0.0083071,0.0083071
173,2435.14,0.50083,0.44927,0.99455,0.93338,0.88925,0.94826,0.88093,0.38884,0.34648,0.89823,0.0082972,0.0082972,0.0082972
174,2448.72,0.50277,0.45017,0.99376,0.93397,0.88054,0.94586,0.87474,0.35353,0.33011,0.86533,0.0082873,0.0082873,0.0082873
175,2462.59,0.49705,0.4454,0.98733,0.93069,0.87768,0.94349,0.88067,0.3625,0.31238,0.88182,0.0082774,0.0082774,0.0082774
176,2476.49,0.50454,0.45012,0.99162,0.92344,0.89723,0.95139,0.88916,0.34985,0.32374,0.87255,0.0082675,0.0082675,0.0082675
177,2490.3,0.49846,0.44997,0.98886,0.93884,0.86655,0.94792,0.88462,0.3579,0.32193,0.87335,0.0082576,0.0082576,0.0082576
178,2504.18,0.49938,0.44429,0.99366,0.93656,0.85735,0.93921,0.8786,0.37814,0.32227,0.89111,0.0082477,0.0082477,0.0082477
179,2517.98,0.50566,0.4479,0.9958,0.93835,0.8659,0.93712,0.87478,0.35653,0.31677,0.87265,0.0082378,0.0082378,0.0082378
180,2531.76,0.49677,0.44732,0.99372,0.93998,0.87606,0.93604,0.87297,0.3563,0.32349,0.86996,0.0082279,0.0082279,0.0082279
