epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,3279.39,1.40766,0.91314,1.02543,0.66927,0.7651,0.7191,0.42235,1.52557,1.02257,1.0714,0.000643795,0.000643795,0.000643795
126,3305.38,1.39654,0.90024,1.02785,0.67478,0.77473,0.71338,0.41646,1.47576,0.99585,1.04693,0.000635544,0.000635544,0.000635544
127,3331.64,1.39204,0.8923,1.02426,0.69418,0.72136,0.69469,0.39957,1.47489,1.01285,1.05322,0.000627292,0.000627292,0.000627292
128,3357.81,1.38276,0.90403,1.02187,0.73778,0.69935,0.71134,0.4225,1.49196,1.01933,1.05576,0.00061904,0.00061904,0.00061904
129,3384.08,1.39492,0.89759,1.02686,0.6516,0.77735,0.68992,0.38152,1.4627,1.01632,1.05176,0.000610789,0.000610789,0.000610789
130,3410.51,1.38552,0.8953,1.01923,0.70671,0.69216,0.67986,0.39659,1.47337,1.0181,1.05811,0.000602537,0.000602537,0.000602537
131,3437.35,1.40657,0.89852,1.02903,0.73819,0.6867,0.68749,0.40426,1.53427,1.04064,1.06673,0.000594286,0.000594286,0.000594286
132,3463.84,1.37113,0.88308,1.01617,0.69156,0.74424,0.71543,0.41606,1.42263,1.00914,1.03818,0.000586034,0.000586034,0.000586034
133,3490.36,1.36915,0.88487,1.01589,0.69943,0.71788,0.68321,0.39173,1.48057,1.0055,1.0563,0.000577782,0.000577782,0.000577782
134,3516.59,1.37893,0.87414,1.01806,0.67937,0.69498,0.68393,0.38416,1.53008,1.01952,1.06807,0.000569531,0.000569531,0.000569531
135,3543.37,1.37448,0.88418,1.01519,0.71966,0.69692,0.68481,0.39037,1.52324,1.02822,1.06422,0.000561279,0.000561279,0.000561279
136,3569.7,1.36621,0.87734,1.01982,0.69946,0.72723,0.71494,0.43243,1.4432,0.99445,1.04372,0.000553027,0.000553027,0.000553027
137,3596.6,1.38084,0.8816,1.02074,0.728,0.71557,0.72052,0.42982,1.48558,0.99211,1.05638,0.000544776,0.000544776,0.000544776
138,3622.65,1.35746,0.86281,1.01339,0.67385,0.73938,0.68839,0.38862,1.51174,1.02911,1.05945,0.000536524,0.000536524,0.000536524
139,3648.8,1.35947,0.87492,1.01766,0.71322,0.65572,0.6798,0.38001,1.49364,0.99644,1.05879,0.000528272,0.000528272,0.000528272
140,3675.01,1.3569,0.86016,1.01256,0.65085,0.74328,0.67596,0.39488,1.48314,1.02468,1.05332,0.000520021,0.000520021,0.000520021
141,3701.87,1.35804,0.86108,1.00969,0.67848,0.72723,0.69465,0.41551,1.49001,1.01782,1.05778,0.000511769,0.000511769,0.000511769
142,3728.04,1.35725,0.8601,1.01522,0.70379,0.72329,0.69559,0.40672,1.49157,1.02494,1.06547,0.000503517,0.000503517,0.000503517
143,3754.44,1.35634,0.86843,1.01308,0.70262,0.75002,0.70536,0.42889,1.48355,1.00585,1.06115,0.000495266,0.000495266,0.000495266
144,3780.83,1.34755,0.85421,1.00816,0.70766,0.72532,0.71049,0.42612,1.45168,0.99438,1.04806,0.000487014,0.000487014,0.000487014
145,3807.51,1.35402,0.86071,1.01263,0.7164,0.72713,0.70612,0.41688,1.47329,1.01021,1.05144,0.000478762,0.000478762,0.000478762
146,3833.88,1.3431,0.85352,1.0092,0.73702,0.73044,0.72019,0.42152,1.48035,1.00837,1.05659,0.000470511,0.000470511,0.000470511
147,3860.76,1.35104,0.85511,1.00983,0.73759,0.72788,0.72039,0.4359,1.44388,1.00534,1.03829,0.000462259,0.000462259,0.000462259
148,3886.78,1.3394,0.8441,1.00746,0.67638,0.74629,0.69992,0.42034,1.42928,1.0099,1.03979,0.000454007,0.000454007,0.000454007
149,3912.63,1.33025,0.84728,1.00516,0.69108,0.72756,0.68741,0.40302,1.49837,1.02304,1.06202,0.000445756,0.000445756,0.000445756
150,3938.5,1.33863,0.84331,1.00616,0.701,0.72691,0.70467,0.4108,1.48315,0.99692,1.05458,0.000437504,0.000437504,0.000437504
151,3964.69,1.32593,0.84681,1.0056,0.70048,0.75167,0.69201,0.40502,1.4542,0.99709,1.04405,0.000429253,0.000429253,0.000429253
152,3990.83,1.32361,0.83296,0.99487,0.69545,0.74382,0.68931,0.39856,1.479,1.01806,1.05348,0.000421001,0.000421001,0.000421001
153,4017.02,1.31835,0.83514,1.00324,0.70334,0.72566,0.69943,0.42305,1.47303,1.0021,1.0541,0.000412749,0.000412749,0.000412749
154,4043.14,1.32394,0.84055,0.99767,0.7072,0.69618,0.68733,0.41678,1.42306,0.98687,1.03308,0.000404498,0.000404498,0.000404498
155,4068.91,1.3027,0.83007,0.99642,0.65981,0.77409,0.69146,0.41469,1.44066,1.00389,1.03932,0.000396246,0.000396246,0.000396246
156,4094.89,1.3083,0.82607,0.99696,0.65966,0.74938,0.68307,0.40975,1.43383,1.01386,1.03729,0.000387994,0.000387994,0.000387994
157,4120.99,1.32093,0.83342,0.99949,0.66988,0.7337,0.69429,0.41342,1.42223,0.9984,1.03346,0.000379743,0.000379743,0.000379743
158,4147.35,1.32038,0.843,1.00095,0.69082,0.74777,0.70362,0.41863,1.43651,1.00302,1.03703,0.000371491,0.000371491,0.000371491
159,4173.18,1.31694,0.82943,0.99857,0.74408,0.71985,0.71836,0.43779,1.41743,1.00477,1.03288,0.000363239,0.000363239,0.000363239
160,4199.28,1.30274,0.81807,0.99393,0.69854,0.76905,0.7115,0.43148,1.42858,1.00708,1.03498,0.000354988,0.000354988,0.000354988
161,4225.06,1.3042,0.82922,0.9907,0.69339,0.77148,0.71728,0.4333,1.45718,1.01623,1.04341,0.000346736,0.000346736,0.000346736
162,4251.12,1.28451,0.81442,0.99061,0.65804,0.77078,0.70825,0.4328,1.46038,1.03286,1.04741,0.000338484,0.000338484,0.000338484
163,4277.06,1.29705,0.81698,0.99609,0.69752,0.73627,0.70094,0.42939,1.45879,1.03528,1.04755,0.000330233,0.000330233,0.000330233
164,4302.91,1.28714,0.81167,0.99088,0.72848,0.7405,0.70855,0.42173,1.41144,0.99736,1.0315,0.000321981,0.000321981,0.000321981
165,4328.84,1.29308,0.81448,0.99481,0.7339,0.72065,0.711,0.43293,1.41272,1.01826,1.03254,0.000313729,0.000313729,0.000313729
166,4354.79,1.27785,0.80473,0.98117,0.70972,0.72183,0.71049,0.4231,1.45216,1.03508,1.04576,0.000305478,0.000305478,0.000305478
167,4380.34,1.26311,0.7878,0.97986,0.72668,0.68804,0.69001,0.41954,1.43293,1.01887,1.03466,0.000297226,0.000297226,0.000297226
168,4406.45,1.26111,0.80092,0.98029,0.67908,0.74498,0.7033,0.42868,1.43967,1.02848,1.0407,0.000288974,0.000288974,0.000288974
169,4432.58,1.26374,0.7923,0.98047,0.68557,0.72173,0.71082,0.42666,1.4729,1.02336,1.05114,0.000280723,0.000280723,0.000280723
170,4458.69,1.28611,0.8118,0.98659,0.67525,0.7447,0.71273,0.43146,1.46203,1.03375,1.04679,0.000272471,0.000272471,0.000272471
171,4485.83,1.27596,0.79639,0.98488,0.6492,0.75959,0.70709,0.41726,1.48743,1.03863,1.05457,0.00026422,0.00026422,0.00026422
172,4511.77,1.27347,0.79753,0.98448,0.68647,0.73494,0.71417,0.42595,1.46512,1.02011,1.04742,0.000255968,0.000255968,0.000255968
173,4537.78,1.26454,0.79343,0.97781,0.66779,0.75497,0.7221,0.43108,1.46936,1.02445,1.04784,0.000247716,0.000247716,0.000247716
174,4563.32,1.27057,0.7923,0.98713,0.69541,0.74013,0.71841,0.42266,1.47786,1.0281,1.04994,0.000239465,0.000239465,0.000239465
175,4589.16,1.28391,0.80798,0.9914,0.68691,0.74939,0.71402,0.42426,1.47922,1.02868,1.05022,0.000231213,0.000231213,0.000231213
176,4614.8,1.26082,0.78977,0.98301,0.67689,0.7485,0.70118,0.41691,1.45709,1.01959,1.04593,0.000222961,0.000222961,0.000222961
177,4640.81,1.25004,0.78238,0.97975,0.75267,0.68515,0.70753,0.42539,1.46342,1.02118,1.04904,0.00021471,0.00021471,0.00021471
178,4666.63,1.25502,0.78548,0.97893,0.65402,0.77867,0.71492,0.43235,1.47292,1.03227,1.0525,0.000206458,0.000206458,0.000206458
179,4692.75,1.24277,0.7844,0.97512,0.69214,0.72643,0.71162,0.43532,1.45203,1.02559,1.04413,0.000198206,0.000198206,0.000198206
